year,ticker,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int
2009,DOW,12.208335,10.720863,12.412045,16.112022,,,,,.34267479,.077425055,.42009985,16.991528
2009,ENE1,13.54621,8.0033627,13.550118,16.666197,,,,,31.246227,.12234029,31.368567,368.67001
2009,ENV1,13.348959,3.8066626,13.34903,5.2626901,,,,,16.159779,.0018515296,16.160938,.38731655
2009,FGL1,11.106475,12.036755,12.369249,14.343161,,,,,.14180382,.35950348,.50130731,3.6087997
2009,FLX1,14.102183,10.469426,14.128283,14.659453,,,,,17.338062,.45847353,17.796535,30.270514
2009,FMG,12.68931,10.522962,12.797802,15.395317,,,,,1.416328,.16230446,1.5786325,21.201551
2009,GFF,11.50345,11.476925,12.183423,14.476918,,,,,.39695841,.38656729,.78352571,7.7643585
2009,GNC,9.7384949,11.653044,11.790549,13.331268,,,,,.095413208,.64727157,.74268478,3.4668114
2009,GRR,12.162606,10.229765,12.297781,15.190538,,,,,3.8202484,.55292881,4.3731771,78.905197
2009,HVN,8.9663563,11.945928,11.995494,13.421134,,,,,.031723551,.62430006,.65602356,2.7293994
2009,ILU,13.724843,13.188357,14.185301,16.409966,,,,,15.148797,3.5879326,24.007813,222.08156
2009,IPL,13.831323,12.289213,14.025186,17.02487,,,,,2.9400609,.62896544,3.5690262,71.663132
2009,ABY1,11.417944,10.721548,11.822328,14.421822,,,,,2.3396943,1.1660522,3.5057464,47.17659
2009,AGL,14.300246,10.875837,14.332295,17.523291,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AIO,13.841222,11.351583,13.920901,16.526222,,,,,3.6510186,.30281487,3.9538333,53.517395
2009,AMP,8.9954128,12.120155,12.163165,13.584176,,,,,.0071053561,.16167548,.16878083,.69897288
2009,AOE,12.702907,10.580887,12.816048,15.220808,,,,,4.8195853,.57733506,5.3969207,59.775108
2009,BKN,10.488521,11.523925,11.827787,13.909682,,,,,.29348698,.82653111,1.1200181,8.982152
2009,BKW,12.609419,11.748338,12.961979,15.669065,,,,,5.0476665,2.1336725,7.1813393,107.61629
2009,BLD,14.828304,13.261128,15.017795,,,,,,5.5786419,1.1638914,6.7425337,
2009,BSL,15.888729,14.063496,16.038166,19.052555,,,,,7.6571021,1.2341722,8.8912745,181.17438
2009,CCL,10.97514,11.744981,12.125529,14.223107,,,,,.12845078,.27737969,.40583047,3.3060637
2009,CEY,14.671914,12.483473,14.778156,14.317013,,,,,26.31218,2.9493687,29.261549,18.451223
2009,CSR,13.376294,12.979375,13.890547,17.874662,,,,,1.8155574,1.22076,3.0363173,163.16486
2009,DOW,12.208335,10.720863,12.412045,16.112022,,,,,.34267479,.077425055,.42009985,16.991528
2009,ENE1,13.54621,8.0033627,13.550118,16.666197,,,,,31.246227,.12234029,31.368567,368.67001
2009,ENV1,13.348959,3.8066626,13.34903,5.2626901,,,,,16.159779,.0018515296,16.160938,.38731655
2009,FGL1,11.106475,12.036755,12.369249,14.343161,,,,,.14180382,.35950348,.50130731,3.6087997
2009,FLX1,14.102183,10.469426,14.128283,14.659453,,,,,17.338062,.45847353,17.796535,30.270514
2009,FMG,12.68931,10.522962,12.797802,15.395317,,,,,1.416328,.16230446,1.5786325,21.201551
2009,GFF,11.50345,11.476925,12.183423,14.476918,,,,,.39695841,.38656729,.78352571,7.7643585
2009,GNC,9.7384949,11.653044,11.790549,13.331268,,,,,.095413208,.64727157,.74268478,3.4668114
2009,GRR,12.162606,10.229765,12.297781,15.190538,,,,,3.8202484,.55292881,4.3731771,78.905197
2009,HVN,8.9663563,11.945928,11.995494,13.421134,,,,,.031723551,.62430006,.65602356,2.7293994
2009,ILU,13.724843,13.188357,14.185301,16.409966,,,,,15.148797,3.5879326,24.007813,222.08156
2009,IPL,13.831323,12.289213,14.025186,17.02487,,,,,2.9400609,.62896544,3.5690262,71.663132
2009,ABY1,11.417944,10.721548,11.822328,14.421822,,,,,2.3396943,1.1660522,3.5057464,47.17659
2009,AGL,14.300246,10.875837,14.332295,17.523291,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AIO,13.841222,11.351583,13.920901,16.526222,,,,,3.6510186,.30281487,3.9538333,53.517395
2009,AMP,8.9954128,12.120155,12.163165,13.584176,,,,,.0071053561,.16167548,.16878083,.69897288
2009,AOE,12.702907,10.580887,12.816048,15.220808,,,,,4.8195853,.57733506,5.3969207,59.775108
2009,BKN,10.488521,11.523925,11.827787,13.909682,,,,,.29348698,.82653111,1.1200181,8.982152
2009,BKW,12.609419,11.748338,12.961979,15.669065,,,,,5.0476665,2.1336725,7.1813393,107.61629
2009,BLD,14.828304,13.261128,15.017795,,,,,,5.5786419,1.1638914,6.7425337,
2009,BSL,15.888729,14.063496,16.038166,19.052555,,,,,7.6571021,1.2341722,8.8912745,181.17438
2009,CCL,10.97514,11.744981,12.125529,14.223107,,,,,.12845078,.27737969,.40583047,3.3060637
2009,CEY,14.671914,12.483473,14.778156,14.317013,,,,,26.31218,2.9493687,29.261549,18.451223
2009,CSR,13.376294,12.979375,13.890547,17.874662,,,,,1.8155574,1.22076,3.0363173,163.16486
2009,DOW,12.208335,10.720863,12.412045,16.112022,,,,,.34267479,.077425055,.42009985,16.991528
2009,ENE1,13.54621,8.0033627,13.550118,16.666197,,,,,31.246227,.12234029,31.368567,368.67001
2009,ENV1,13.348959,3.8066626,13.34903,5.2626901,,,,,16.159779,.0018515296,16.160938,.38731655
2009,FGL1,11.106475,12.036755,12.369249,14.343161,,,,,.14180382,.35950348,.50130731,3.6087997
2009,FLX1,14.102183,10.469426,14.128283,14.659453,,,,,17.338062,.45847353,17.796535,30.270514
2009,FMG,12.68931,10.522962,12.797802,15.395317,,,,,1.416328,.16230446,1.5786325,21.201551
2009,GFF,11.50345,11.476925,12.183423,14.476918,,,,,.39695841,.38656729,.78352571,7.7643585
2009,GNC,9.7384949,11.653044,11.790549,13.331268,,,,,.095413208,.64727157,.74268478,3.4668114
2009,GRR,12.162606,10.229765,12.297781,15.190538,,,,,3.8202484,.55292881,4.3731771,78.905197
2009,HVN,8.9663563,11.945928,11.995494,13.421134,,,,,.031723551,.62430006,.65602356,2.7293994
2009,ILU,13.724843,13.188357,14.185301,16.409966,,,,,15.148797,3.5879326,24.007813,222.08156
2009,IPL,13.831323,12.289213,14.025186,17.02487,,,,,2.9400609,.62896544,3.5690262,71.663132
2009,ABY1,11.417944,10.721548,11.822328,14.421822,,,,,2.3396943,1.1660522,3.5057464,47.17659
2009,AGL,14.300246,10.875837,14.332295,17.523291,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AIO,13.841222,11.351583,13.920901,16.526222,,,,,3.6510186,.30281487,3.9538333,53.517395
2009,AMP,8.9954128,12.120155,12.163165,13.584176,,,,,.0071053561,.16167548,.16878083,.69897288
2009,AOE,12.702907,10.580887,12.816048,15.220808,,,,,4.8195853,.57733506,5.3969207,59.775108
2009,BKN,10.488521,11.523925,11.827787,13.909682,,,,,.29348698,.82653111,1.1200181,8.982152
2009,BKW,12.609419,11.748338,12.961979,15.669065,,,,,5.0476665,2.1336725,7.1813393,107.61629
2009,BSL,15.888729,14.063496,16.038166,19.052555,,,,,7.6571021,1.2341722,8.8912745,181.17438
2009,CCL,10.97514,11.744981,12.125529,14.223107,,,,,.12845078,.27737969,.40583047,3.3060637
2009,CEY,14.671914,12.483473,14.778156,14.317013,,,,,26.31218,2.9493687,29.261549,18.451223
2009,CSR,13.376294,12.979375,13.890547,17.874662,,,,,1.8155574,1.22076,3.0363173,163.16486
2009,DOW,12.208335,10.720863,12.412045,16.112022,,,,,.34267479,.077425055,.42009985,16.991528
2009,ENE1,13.54621,8.0033627,13.550118,16.666197,,,,,31.246227,.12234029,31.368567,368.67001
2009,ENV1,13.348959,3.8066626,13.34903,5.2626901,,,,,16.159779,.0018515296,16.160938,.38731655
2009,FGL1,11.106475,12.036755,12.369249,14.343161,,,,,.14180382,.35950348,.50130731,3.6087997
2009,FLX1,14.102183,10.469426,14.128283,14.659453,,,,,17.338062,.45847353,17.796535,30.270514
2009,FMG,12.68931,10.522962,12.797802,15.395317,,,,,1.416328,.16230446,1.5786325,21.201551
2009,GFF,11.50345,11.476925,12.183423,14.476918,,,,,.39695841,.38656729,.78352571,7.7643585
2009,GNC,9.7384949,11.653044,11.790549,13.331268,,,,,.095413208,.64727157,.74268478,3.4668114
2009,GRR,12.162606,10.229765,12.297781,15.190538,,,,,3.8202484,.55292881,4.3731771,78.905197
2009,HVN,8.9663563,11.945928,11.995494,13.421134,,,,,.031723551,.62430006,.65602356,2.7293994
2009,ILU,13.724843,13.188357,14.185301,16.409966,,,,,15.148797,3.5879326,24.007813,222.08156
2009,IPL,13.831323,12.289213,14.025186,17.02487,,,,,2.9400609,.62896544,3.5690262,71.663132
2009,ABY1,11.417944,10.721548,11.822328,14.421822,,,,,2.3396943,1.1660522,3.5057464,47.17659
2009,AGL,14.300246,10.875837,14.332295,17.523291,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AIO,13.841222,11.351583,13.920901,16.526222,,,,,3.6510186,.30281487,3.9538333,53.517395
2009,AMP,8.9954128,12.120155,12.163165,13.584176,,,,,.0071053561,.16167548,.16878083,.69897288
2009,AOE,12.702907,10.580887,12.816048,15.220808,,,,,4.8195853,.57733506,5.3969207,59.775108
2009,BKN,10.488521,11.523925,11.827787,13.909682,,,,,.29348698,.82653111,1.1200181,8.982152
2009,BKW,12.609419,11.748338,12.961979,15.669065,,,,,5.0476665,2.1336725,7.1813393,107.61629
2009,BLD,14.828304,13.261128,15.017795,,,,,,5.5786419,1.1638914,6.7425337,
2009,BSL,15.888729,14.063496,16.038166,19.052555,,,,,7.6571021,1.2341722,8.8912745,181.17438
2009,CCL,10.97514,11.744981,12.125529,14.223107,,,,,.12845078,.27737969,.40583047,3.3060637
2009,CEY,14.671914,12.483473,14.778156,14.317013,,,,,26.31218,2.9493687,29.261549,18.451223
2009,CSR,13.376294,12.979375,13.890547,17.874662,,,,,1.8155574,1.22076,3.0363173,163.16486
2009,DOW,12.208335,10.720863,12.412045,16.112022,,,,,.34267479,.077425055,.42009985,16.991528
2009,ENE1,13.54621,8.0033627,13.550118,16.666197,,,,,31.246227,.12234029,31.368567,368.67001
2009,ENV1,13.348959,3.8066626,13.34903,5.2626901,,,,,16.159779,.0018515296,16.160938,.38731655
2009,FGL1,11.106475,12.036755,12.369249,14.343161,,,,,.14180382,.35950348,.50130731,3.6087997
2009,FLX1,14.102183,10.469426,14.128283,14.659453,,,,,17.338062,.45847353,17.796535,30.270514
2009,FMG,12.68931,10.522962,12.797802,15.395317,,,,,1.416328,.16230446,1.5786325,21.201551
2009,GFF,11.50345,11.476925,12.183423,14.476918,,,,,.39695841,.38656729,.78352571,7.7643585
2009,GNC,9.7384949,11.653044,11.790549,13.331268,,,,,.095413208,.64727157,.74268478,3.4668114
2009,GRR,12.162606,10.229765,12.297781,15.190538,,,,,3.8202484,.55292881,4.3731771,78.905197
2009,HVN,8.9663563,11.945928,11.995494,13.421134,,,,,.031723551,.62430006,.65602356,2.7293994
2009,ILU,13.724843,13.188357,14.185301,16.409966,,,,,15.148797,3.5879326,24.007813,222.08156
2009,IPL,13.831323,12.289213,14.025186,17.02487,,,,,2.9400609,.62896544,3.5690262,71.663132
2009,ABY1,11.417944,10.721548,11.822328,14.421822,,,,,2.3396943,1.1660522,3.5057464,47.17659
2009,AGL,14.300246,10.875837,14.332295,17.523291,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AIO,13.841222,11.351583,13.920901,16.526222,,,,,3.6510186,.30281487,3.9538333,53.517395
2009,AMP,8.9954128,12.120155,12.163165,13.584176,,,,,.0071053561,.16167548,.16878083,.69897288
2009,AOE,12.702907,10.580887,12.816048,15.220808,,,,,4.8195853,.57733506,5.3969207,59.775108
2009,BKN,10.488521,11.523925,11.827787,13.909682,,,,,.29348698,.82653111,1.1200181,8.982152
2009,BKW,12.609419,11.748338,12.961979,15.669065,,,,,5.0476665,2.1336725,7.1813393,107.61629
2009,BLD,14.828304,13.261128,15.017795,,,,,,5.5786419,1.1638914,6.7425337,
2009,BSL,15.888729,14.063496,16.038166,19.052555,,,,,7.6571021,1.2341722,8.8912745,181.17438
2009,CCL,10.97514,11.744981,12.125529,14.223107,,,,,.12845078,.27737969,.40583047,3.3060637
2009,CEY,14.671914,12.483473,14.778156,14.317013,,,,,26.31218,2.9493687,29.261549,18.451223
2009,CSR,13.376294,12.979375,13.890547,17.874662,,,,,1.8155574,1.22076,3.0363173,163.16486
2009,DOW,12.208335,10.720863,12.412045,16.112022,,,,,.34267479,.077425055,.42009985,16.991528
2009,ENE1,13.54621,8.0033627,13.550118,16.666197,,,,,31.246227,.12234029,31.368567,368.67001
2009,ENV1,13.348959,3.8066626,13.34903,5.2626901,,,,,16.159779,.0018515296,16.160938,.38731655
2009,FGL1,11.106475,12.036755,12.369249,14.343161,,,,,.14180382,.35950348,.50130731,3.6087997
2009,FLX1,14.102183,10.469426,14.128283,14.659453,,,,,17.338062,.45847353,17.796535,30.270514
2009,FMG,12.68931,10.522962,12.797802,15.395317,,,,,1.416328,.16230446,1.5786325,21.201551
2009,GFF,11.50345,11.476925,12.183423,14.476918,,,,,.39695841,.38656729,.78352571,7.7643585
2009,GNC,9.7384949,11.653044,11.790549,13.331268,,,,,.095413208,.64727157,.74268478,3.4668114
2009,GRR,12.162606,10.229765,12.297781,15.190538,,,,,3.8202484,.55292881,4.3731771,78.905197
2009,HVN,8.9663563,11.945928,11.995494,13.421134,,,,,.031723551,.62430006,.65602356,2.7293994
2009,ILU,13.724843,13.188357,14.185301,16.409966,,,,,15.148797,3.5879326,24.007813,222.08156
2009,IPL,13.831323,12.289213,14.025186,17.02487,,,,,2.9400609,.62896544,3.5690262,71.663132
2009,ABY1,11.417944,10.721548,11.822328,14.421822,,,,,2.3396943,1.1660522,3.5057464,47.17659
2009,AGL,14.300246,10.875837,14.332295,17.523291,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AIO,13.841222,11.351583,13.920901,16.526222,,,,,3.6510186,.30281487,3.9538333,53.517395
2009,AMP,8.9954128,12.120155,12.163165,13.584176,,,,,.0071053561,.16167548,.16878083,.69897288
2009,AOE,12.702907,10.580887,12.816048,15.220808,,,,,4.8195853,.57733506,5.3969207,59.775108
2009,BKN,10.488521,11.523925,11.827787,13.909682,,,,,.29348698,.82653111,1.1200181,8.982152
2009,BKW,12.609419,11.748338,12.961979,15.669065,,,,,5.0476665,2.1336725,7.1813393,107.61629
2009,BLD,14.828304,13.261128,15.017795,,,,,,5.5786419,1.1638914,6.7425337,
2009,BSL,15.888729,14.063496,16.038166,19.052555,,,,,7.6571021,1.2341722,8.8912745,181.17438
2009,CCL,10.97514,11.744981,12.125529,14.223107,,,,,.12845078,.27737969,.40583047,3.3060637
2009,CEY,14.671914,12.483473,14.778156,14.317013,,,,,26.31218,2.9493687,29.261549,18.451223
2009,CSR,13.376294,12.979375,13.890547,17.874662,,,,,1.8155574,1.22076,3.0363173,163.16486
2009,DOW,12.208335,10.720863,12.412045,16.112022,,,,,.34267479,.077425055,.42009985,16.991528
2009,ENE1,13.54621,8.0033627,13.550118,16.666197,,,,,31.246227,.12234029,31.368567,368.67001
2009,ENV1,13.348959,3.8066626,13.34903,5.2626901,,,,,16.159779,.0018515296,16.160938,.38731655
2009,FGL1,11.106475,12.036755,12.369249,14.343161,,,,,.14180382,.35950348,.50130731,3.6087997
2009,FLX1,14.102183,10.469426,14.128283,14.659453,,,,,17.338062,.45847353,17.796535,30.270514
2009,FMG,12.68931,10.522962,12.797802,15.395317,,,,,1.416328,.16230446,1.5786325,21.201551
2009,GFF,11.50345,11.476925,12.183423,14.476918,,,,,.39695841,.38656729,.78352571,7.7643585
2009,GNC,9.7384949,11.653044,11.790549,13.331268,,,,,.095413208,.64727157,.74268478,3.4668114
2009,GRR,12.162606,10.229765,12.297781,15.190538,,,,,3.8202484,.55292881,4.3731771,78.905197
2009,HVN,8.9663563,11.945928,11.995494,13.421134,,,,,.031723551,.62430006,.65602356,2.7293994
2009,ILU,13.724843,13.188357,14.185301,16.409966,,,,,15.148797,3.5879326,24.007813,222.08156
2009,IPL,13.831323,12.289213,14.025186,17.02487,,,,,2.9400609,.62896544,3.5690262,71.663132
2009,ABY1,11.417944,10.721548,11.822328,14.421822,,,,,2.3396943,1.1660522,3.5057464,47.17659
2009,AGL,14.300246,10.875837,14.332295,17.523291,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AIO,13.841222,11.351583,13.920901,16.526222,,,,,3.6510186,.30281487,3.9538333,53.517395
2009,AMP,8.9954128,12.120155,12.163165,13.584176,,,,,.0071053561,.16167548,.16878083,.69897288
2009,AOE,12.702907,10.580887,12.816048,15.220808,,,,,4.8195853,.57733506,5.3969207,59.775108
2009,BKN,10.488521,11.523925,11.827787,13.909682,,,,,.29348698,.82653111,1.1200181,8.982152
2009,BKW,12.609419,11.748338,12.961979,15.669065,,,,,5.0476665,2.1336725,7.1813393,107.61629
2009,BLD,14.828304,13.261128,15.017795,,,,,,5.5786419,1.1638914,6.7425337,
2009,BSL,15.888729,14.063496,16.038166,19.052555,,,,,7.6571021,1.2341722,8.8912745,181.17438
2009,CCL,10.97514,11.744981,12.125529,14.223107,,,,,.12845078,.27737969,.40583047,3.3060637
2009,CEY,14.671914,12.483473,14.778156,14.317013,,,,,26.31218,2.9493687,29.261549,18.451223
2009,CSR,13.376294,12.979375,13.890547,17.874662,,,,,1.8155574,1.22076,3.0363173,163.16486
2009,DOW,12.208335,10.720863,12.412045,16.112022,,,,,.34267479,.077425055,.42009985,16.991528
2009,ENE1,13.54621,8.0033627,13.550118,16.666197,,,,,31.246227,.12234029,31.368567,368.67001
2009,ENV1,13.348959,3.8066626,13.34903,5.2626901,,,,,16.159779,.0018515296,16.160938,.38731655
2009,FGL1,11.106475,12.036755,12.369249,14.343161,,,,,.14180382,.35950348,.50130731,3.6087997
2009,FLX1,14.102183,10.469426,14.128283,14.659453,,,,,17.338062,.45847353,17.796535,30.270514
2009,FMG,12.68931,10.522962,12.797802,15.395317,,,,,1.416328,.16230446,1.5786325,21.201551
2009,GFF,11.50345,11.476925,12.183423,14.476918,,,,,.39695841,.38656729,.78352571,7.7643585
2009,GNC,9.7384949,11.653044,11.790549,13.331268,,,,,.095413208,.64727157,.74268478,3.4668114
2009,GRR,12.162606,10.229765,12.297781,15.190538,,,,,3.8202484,.55292881,4.3731771,78.905197
2009,HVN,8.9663563,11.945928,11.995494,13.421134,,,,,.031723551,.62430006,.65602356,2.7293994
2009,ILU,13.724843,13.188357,14.185301,16.409966,,,,,15.148797,3.5879326,24.007813,222.08156
2009,IPL,13.831323,12.289213,14.025186,17.02487,,,,,2.9400609,.62896544,3.5690262,71.663132
2009,ABY1,11.417944,10.721548,11.822328,14.421822,,,,,2.3396943,1.1660522,3.5057464,47.17659
2009,AGL,14.300246,10.875837,14.332295,17.523291,,,,,2.3638065,.076985672,2.4407923,59.341999
2009,AIO,13.841222,11.351583,13.920901,16.526222,,,,,3.6510186,.30281487,3.9538333,53.517395
2009,AMP,8.9954128,12.120155,12.163165,13.584176,,,,,.0071053561,.16167548,.16878083,.69897288
2009,AOE,12.702907,10.580887,12.816048,15.220808,,,,,4.8195853,.57733506,5.3969207,59.775108
2009,BKN,10.488521,11.523925,11.827787,13.909682,,,,,.29348698,.82653111,1.1200181,8.982152
2009,BKW,12.609419,11.748338,12.961979,15.669065,,,,,5.0476665,2.1336725,7.1813393,107.61629
2009,BLD,14.828304,13.261128,15.017795,,,,,,5.5786419,1.1638914,6.7425337,
2009,BSL,15.888729,14.063496,16.038166,19.052555,,,,,7.6571021,1.2341722,8.8912745,181.17438
2009,CCL,10.97514,11.744981,12.125529,14.223107,,,,,.12845078,.27737969,.40583047,3.3060637
2009,CEY,14.671914,12.483473,14.778156,14.317013,,,,,26.31218,2.9493687,29.261549,18.451223
2009,CSR,13.376294,12.979375,13.890547,17.874662,,,,,1.8155574,1.22076,3.0363173,163.16486
2009,DOW,12.208335,10.720863,12.412045,16.112022,,,,,.34267479,.077425055,.42009985,16.991528
2009,ENE1,13.54621,8.0033627,13.550118,16.666197,,,,,31.246227,.12234029,31.368567,368.67001
2009,ENV1,13.348959,3.8066626,13.34903,5.2626901,,,,,16.159779,.0018515296,16.160938,.38731655
2009,FGL1,11.106475,12.036755,12.369249,14.343161,,,,,.14180382,.35950348,.50130731,3.6087997
2009,FLX1,14.102183,10.469426,14.128283,14.659453,,,,,17.338062,.45847353,17.796535,30.270514
2009,FMG,12.68931,10.522962,12.797802,15.395317,,,,,1.416328,.16230446,1.5786325,21.201551
2009,GFF,11.50345,11.476925,12.183423,14.476918,,,,,.39695841,.38656729,.78352571,7.7643585
2009,GNC,9.7384949,11.653044,11.790549,13.331268,,,,,.095413208,.64727157,.74268478,3.4668114
2009,GRR,12.162606,10.229765,12.297781,15.190538,,,,,3.8202484,.55292881,4.3731771,78.905197
2009,HVN,8.9663563,11.945928,11.995494,13.421134,,,,,.031723551,.62430006,.65602356,2.7293994
2009,ILU,13.724843,13.188357,14.185301,16.409966,,,,,15.148797,3.5879326,24.007813,222.08156
2009,IPL,13.831323,12.289213,14.025186,17.02487,,,,,2.9400609,.62896544,3.5690262,71.663132
