Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,7.150000095,7,165748688
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.875,0.894999981,192069248
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,1,0.970000029,134960144
88E AT Equity,88 Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.044,0.041000001,189940448
A2M AT Equity,a2 Milk Co Ltd/The,Food Products,302020,2.210000038,2.74000001,1964412416
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,3.809999943,3.019999981,363700640
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.099999905,3.24000001,1864848000
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,1.13499999,1.090000033,591097408
ACX AT Equity,Aconex Ltd,Interactive Media & Services,502030,3.410000086,3.930000067,779030848
ADA AT Equity,Adacel Technologies Ltd,Software,451030,2.319999933,2.420000076,191828992
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,1.179999948,1.120000005,185779760
ABC AT Equity,Adbri Ltd,Construction Materials,151020,5.369999886,5.679999828,3690035456
ADS AT Equity,Adslot Ltd,Software,451030,0.068999998,0.067000002,86050024
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,24.12000084,26.37000084,17556922368
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,1.75,1.840000033,609197440
1901980D AT Equity,AirXpanders Inc,Health Care Equipment & Supplies,351010,0.75,0.860000014,247315136
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.25999999,0.300000012,117153656
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.569999933,2.599999905,759576704
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,4.300000191,4.429999828,867257024
AJX AT Equity,Alexium International Group Ltd,Chemicals,151010,0.579999983,0.535000026,162494480
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.324999988,0.280000001,141460384
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,3.079999924,2.779999971,585246976
ALQ AT Equity,ALS Ltd,Professional Services,202020,6.039999962,6.139999866,3095917824
ALU AT Equity,Altium Ltd,Software,451030,7.239999771,7.599999905,989640256
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.845000029,1.789999962,5154919936
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,1.039999962,1.054999948,541960768
AYS AT Equity,Amaysim Australia Ltd,Electric Utilities,551010,1.830000043,1.899999976,352770720
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,14.05000019,15.06000042,17441607680
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,4.880000114,5.179999828,15321082880
ATX AT Equity,Amplia Therapeutics Ltd,Biotechnology,352010,0.665000021,0.764999986,172603888
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,28.13999939,29.48999977,7691301888
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,3,2.880000114,5910099456
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,21.29000092,24.06999969,3551573760
APA AT Equity,APA Group,Gas Utilities,551020,8.460000038,8.960000038,9984194560
AHX AT Equity,Apiam Animal Health Ltd,Health Care Providers & Services,351020,1.179999948,1.169999957,118378200
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,5.929999828,5.699999809,949702656
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.409999996,0.419999987,131771976
ATL AT Equity,Apollo Tourism & Leisure Ltd,Automobiles,251020,1.355000019,1.429999948,207518496
APX AT Equity,Appen Ltd,IT Services,451020,2.680000067,2.650000095,258903488
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,14.43999958,14.72000027,1165591552
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.63499999,1.830000043,858443264
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,2.109999895,2.099999905,492075328
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,16.60000038,17.96999931,11474637824
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.644999981,1.75999999,960830656
AFA AT Equity,ASF Group Ltd,Diversified Financial Services,402010,0.200000003,0.185000002,111616784
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,6.059999943,6.400000095,388175776
ASX AT Equity,ASX Ltd,Capital Markets,402030,51.22999954,50.47999954,9772684288
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,4.900000095,5.119999886,2933442816
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.037,0.029999999,277834016
ATU AT Equity,Atrum Coal Ltd,Metals & Mining,151040,0.449999988,0.36500001,84677312
AUB AT Equity,AUB Group Ltd,Insurance,403010,11.25,11.69999981,747003776
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,6.869999886,6.190000057,7371623424
AKP AT Equity,Audio Pixels Holdings Ltd,Household Durables,252010,10.39999962,15.56000042,418461440
AZJ AT Equity,Aurizon Holdings Ltd,Road & Rail,203040,5.119999886,5.25,10771664896
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.620000005,1.684999943,6071316480
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,1.899999976,1.730000019,603941760
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,30.89999962,31.81999969,93424697344
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.419999957,1.659999967,927459264
AFG AT Equity,Australian Finance Group Ltd,Thrifts & Mortgage Finance,401020,1.429999948,1.355000019,291071168
KDR AT Equity,Australian Light Minerals Pty Ltd,Metals & Mining,151040,0.474999994,0.449999988,149999104
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,1.899999976,2.039999962,999192768
AOF AT Equity,Australian Unity Office Fund,Equity Real Estate Investment Trusts (REITs),601010,2.089999914,2.089999914,293378272
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,0.460000008,0.455000013,109016152
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,5.429999828,5.25,213601664
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,3.99000001,4.119999886,1366286848
ASG AT Equity,Autosports Group Ltd,Specialty Retail,255040,2.599999905,2.539999962,510540000
AVB AT Equity,Avanco Resources Ltd,Metals & Mining,151040,0.109999999,0.119999997,294828768
AVN AT Equity,Aventus Group,Equity Real Estate Investment Trusts (REITs),601010,2.380000114,2.400000095,952645248
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,3.180000067,3.210000038,1866093824
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.61500001,0.620000005,238342800
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,0.479999989,0.495000005,261437648
BBN AT Equity,Baby Bunting Group Ltd,Specialty Retail,255040,2.150000095,2.059999943,258984208
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,11.85000038,12.15999985,4709865472
BAP AT Equity,Bapcor Ltd,Distributors,255010,5.559999943,5.829999924,1619671808
BSE AT Equity,Base Resources Ltd,Metals & Mining,151040,0.275000006,0.294999987,218958416
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.704999983,0.800000012,1498597248
BLX AT Equity,Beacon Lighting Group Ltd,Specialty Retail,255040,1.710000038,1.779999971,383167712
BDR AT Equity,Beadell Resources Ltd,Metals & Mining,151040,0.284999996,0.289999992,353198976
BGA AT Equity,Bega Cheese Ltd,Food Products,302020,5.829999924,6.329999924,965976704
BFG AT Equity,Bell Financial Group Ltd,Capital Markets,402030,0.720000029,0.644999981,172399776
BAL AT Equity,Bellamy's Australia Ltd,Food Products,302020,4.449999809,4.199999809,406083392
BEN AT Equity,Bendigo & Adelaide Bank Ltd,Banks,401010,12.22000027,12.14000034,5761131520
BKY AT Equity,Berkeley Energia Ltd,"Oil, Gas & Consumable Fuels",101020,0.899999976,0.74000001,188322576
BFC AT Equity,Beston Global Food Co Ltd,Food Products,302020,0.209999993,0.25999999,115262120
BHP AT Equity,BHP Group Ltd,Metals & Mining,151040,25,24.04000092,1.19961E+11
