Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,7.559999943,7.510000229,177824672
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.875,0.899999976,215642256
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,1.149999976,0.949999988,132177464
8IH AT Equity,8I Holdings Ltd,Diversified Financial Services,402010,0.720000029,0.699999988,251520992
A2M AT Equity,a2 Milk Co Ltd/The,Food Products,302020,2.039999962,2.119999886,1517644544
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,3.880000114,3.650000095,439571968
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.019999981,2.809999943,1608233088
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,1.485000014,1.36500001,738862464
MIG AT Equity,ACN 059457279 Ltd,Interactive Media & Services,502030,0.086000003,0.052000001,16439950
ACX AT Equity,Aconex Ltd,Interactive Media & Services,502030,5.070000172,3.019999981,597954944
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.310000002,0.310000002,51621732
ADA AT Equity,Adacel Technologies Ltd,Software,451030,2.460000038,2.380000114,188658272
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,1.600000024,1.455000043,241347808
ABC AT Equity,Adbri Ltd,Construction Materials,151020,5.429999828,5.119999886,3326228992
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,22.09000015,22.60000038,15188237312
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,2.109999895,1.809999943,599264896
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.289999962,2.440000057,712583104
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,4.210000038,4.349999905,851595456
AJX AT Equity,Alexium International Group Ltd,Chemicals,151010,0.610000014,0.654999971,198389136
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,4.53000021,4.21999979,887552512
ALQ AT Equity,ALS Ltd,Professional Services,202020,6.039999962,5.920000076,2984989184
ALU AT Equity,Altium Ltd,Software,451030,8.090000153,8.069999695,1050841664
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.830000043,1.940000057,5586896384
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,0.985000014,0.99000001,471426560
AYS AT Equity,Amaysim Australia Ltd,Electric Utilities,551010,1.99000001,2.039999962,378764384
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,14.94999981,14.30000019,16561419264
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.039999962,5,14788689920
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,30.45999908,28.60000038,7459180544
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,3.119999886,3.299999952,6762000896
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,24.70999908,23.78000069,3506301440
AVR AT Equity,Anteris Technologies Ltd,Health Care Equipment & Supplies,351010,0.360000014,0.344999999,87904456
APA AT Equity,APA Group,Gas Utilities,551020,8.569999695,8.420000076,9382467584
AHX AT Equity,Apiam Animal Health Ltd,Health Care Providers & Services,351020,1.25,1.159999967,117366416
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,5.909999847,5.630000114,938039616
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.419999987,0.430000007,135016896
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,17.64999962,16.20999908,1283576064
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,2.339999914,2.099999905,985098816
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,1.870000005,1.870000005,436885984
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,15.5,15.27999973,9756954624
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.480000019,1.50999999,824349056
AFA AT Equity,ASF Group Ltd,Diversified Financial Services,402010,0.200000003,0.200000003,120678368
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.125,1.049999952,107508072
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,6.650000095,6.300000191,382110528
ASX AT Equity,ASX Ltd,Capital Markets,402030,49.74000168,49.88999939,9658463232
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,5.050000191,5.019999981,2661253120
AUB AT Equity,AUB Group Ltd,Insurance,403010,10.5,10.47000027,668472640
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,6.150000095,6.570000172,7824162816
AKP AT Equity,Audio Pixels Holdings Ltd,Household Durables,252010,14.14999962,12.67000008,340739488
AZJ AT Equity,Aurizon Holdings Ltd,Road & Rail,203040,5.050000191,5.010000229,10279245824
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.580000043,1.580000043,5692984832
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,1.74000001,1.600000024,558558848
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,30.42000008,29.29000092,85996527616
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.695000052,1.465000033,818510720
AFG AT Equity,Australian Finance Group Ltd,Thrifts & Mortgage Finance,401020,1.179999948,1.419999957,305033984
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,2.059999943,1.88499999,923273728
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,5.090000153,5.320000172,216449680
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,3.950000048,3.910000086,1296646016
AVA AT Equity,Ava Risk Group Ltd,"Electronic Equipment, Instruments & Components",452030,0.180000007,0.174999997,21704978
AVB AT Equity,Avanco Resources Ltd,Metals & Mining,151040,0.066,0.089000002,218664672
AVN AT Equity,Aventus Group,Equity Real Estate Investment Trusts (REITs),601010,2.349999905,2.329999924,922612032
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,3.349999905,3.190000057,1854467072
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.605000019,0.605000019,232576432
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,0.620000005,0.579999983,306330976
BBN AT Equity,Baby Bunting Group Ltd,Specialty Retail,255040,2.430000067,2.410000086,302986368
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,11.86999989,11.97000027,4636273664
BAP AT Equity,Bapcor Ltd,Distributors,255010,5.920000076,5.480000019,1522435968
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.850000024,0.75,1398821120
BLX AT Equity,Beacon Lighting Group Ltd,Specialty Retail,255040,1.559999943,1.600000024,344420416
BDR AT Equity,Beadell Resources Ltd,Metals & Mining,151040,0.270000011,0.305000007,323015584
BGA AT Equity,Bega Cheese Ltd,Food Products,302020,4.239999771,5.130000114,782853120
